ID,sex,school,country,sleep,suite_pref,cleanliness,alcohol,siblings,gender_pref
FY128,F,S84,Singapore,3,3,2,No,No,Female Only
FY129,M,S85,United Kingdom,3,3,2,No,No,Male Only
FY130,M,S65,Indonesia,2,2,2,No,No,No Preference
FY131,F,S40,Italy,2,3,1,No,No,Female Only
FY132,F,S31,Philippines,2,2,2,No,No,Female Only
FY133,M,S17,Canada,2,3,2,Yes,No,No Preference
FY134,M,S27,Brazil,2,2,2,No,No,No Preference
FY136,F,S63,Malaysia,1,2,2,No,No,Female Only
FY137,F,S111,Japan,2,3,2,No,Yes,No Preference
FY138,F,S78,Singapore,2,3,1,No,No,Female Only
FY139,F,S115,Pakistan,2,3,2,No,No,No Preference
FY140,M,S14,New Zealand,3,3,3,No,No,No Preference
FY142,M,S19,Singapore,4,2,2,No,No,No Preference
FY143,F,S3,South Africa,1,2,1,Yes,No,No Preference
FY144,M,S78,Singapore,2,2,2,No,No,No Preference
FY145,M,S107,Uzbekistan,2,1,2,Yes,No,No Preference
FY146,F,S81,Pakistan,4,3,2,Yes,No,Female Only
FY147,F,S87,Bangladesh,1,1,2,Yes,No,Female Only
FY148,F,S78,Singapore,2,2,2,No,No,Female Only
FY149,F,S84,Singapore,3,3,2,No,No,Female Only
FY150,F,S36,Indonesia,3,4,2,No,No,Female Only
FY151,M,S62,Singapore,2,1,1,No,No,No Preference
FY152,F,S119,Myanmar,1,1,2,No,No,Female Only
FY153,M,S50,Singapore,3,3,2,No,No,No Preference
FY154,F,S72,Singapore,1,2,1,Yes,No,Female Only
FY155,M,S18,India,3,3,2,No,No,Male Only
FY156,M,S97,Singapore,2,2,2,No,No,No Preference
FY157,M,S44,Singapore,2,3,2,No,No,Male Only
FY158,M,S9,Singapore,3,3,2,No,No,No Preference
FY159,M,S71,Bangladesh,3,2,2,Yes,No,Male Only
FY160,F,S56,Poland,2,2,1,No,No,Female Only
FY161,F,S44,Singapore,3,2,2,No,No,Female Only
FY162,F,S12,Sri Lanka,2,2,2,No,No,Female Only
FY163,F,S8,Singapore,2,3,2,Yes,No,Female Only
FY164,M,S70,Singapore,1,2,2,No,No,No Preference
FY165,M,S44,Singapore,2,3,2,No,No,No Preference
FY166,F,S67,United States,2,3,2,No,No,No Preference
FY168,M,S11,Belgium,2,2,2,No,No,Male Only
FY169,F,S41,China,2,1,2,Yes,No,Female Only
FY170,F,S95,Singapore,2,3,1,No,No,No Preference
FY171,F,S54,Japan,3,3,1,No,No,Female Only
FY172,F,S94,Singapore,2,2,2,No,No,Female Only
FY173,F,S76,Philippines,2,2,1,No,No,Female Only
FY174,F,S122,Japan,1,3,2,No,Yes,Female Only
FY175,M,S94,Singapore,2,2,2,No,No,Male Only
FY177,M,S121,Canada,2,2,2,No,No,Male Only
FY178,F,S20,Singapore,2,2,2,No,No,Female Only
FY179,M,S64,Taiwan,2,2,2,Yes,No,Male Only
FY180,M,S10,Singapore,2,3,2,No,No,Male Only
FY181,F,S70,Singapore,2,3,1,No,No,Female Only
FY182,M,S93,Singapore,2,3,3,No,No,No Preference
FY184,M,S20,Singapore,2,2,2,No,No,No Preference
FY185,F,S37,Singapore,3,2,2,No,No,Female Only
FY186,F,S120,Singapore,2,2,1,No,No,Female Only
FY187,F,S65,Singapore,3,3,2,No,No,No Preference
FY188,F,S78,Singapore,3,2,2,Yes,No,No Preference
FY189,F,S37,Singapore,1,2,2,Yes,No,Female Only
FY190,F,S82,Singapore,3,2,2,Yes,No,Female Only
FY191,F,S79,Singapore,2,2,2,No,No,Female Only
FY192,F,S78,Singapore,2,2,1,No,No,No Preference
FY193,F,S74,Mongolia,2,2,2,No,No,Female Only
FY194,F,S73,United States,2,2,2,No,No,No Preference
FY195,F,S59,Japan,1,1,1,Yes,No,Female Only
FY196,F,S109,Singapore,2,2,2,No,Yes,Female Only
FY197,M,S35,Singapore,2,3,2,No,No,No Preference
FY198,M,S44,Singapore,3,2,1,No,No,No Preference
FY199,M,S68,Singapore,1,2,1,No,No,No Preference
FY200,M,S68,Singapore,2,2,1,Yes,No,Male Only
FY201,M,S70,Singapore,2,1,1,No,No,Male Only
FY202,F,S119,Singapore,2,2,2,No,No,Female Only
FY203,F,S78,Singapore,3,3,2,No,No,No Preference
FY204,M,S78,Singapore,2,2,2,No,No,No Preference
FY205,M,S10,Singapore,1,2,2,No,No,No Preference
FY206,F,S44,Singapore,3,3,2,No,No,Female Only
FY207,F,S123,Sri Lanka,2,2,2,No,No,No Preference
FY208,M,S84,Singapore,2,3,1,Yes,No,No Preference
FY209,M,S117,China,2,3,2,Yes,No,No Preference
FY210,F,S25,Zimbabwe,3,2,2,Yes,No,Female Only
FY213,F,S44,Singapore,1,1,1,Yes,No,Female Only
FY214,M,S82,Singapore,1,2,2,No,Yes,No Preference
FY215,M,S120,Singapore,3,3,2,No,No,No Preference
FY218,M,S75,Singapore,2,2,1,No,No,Male Only
FY219,F,S112,India,2,2,2,Yes,No,Female Only
FY220,F,S47,Malaysia,1,2,1,Yes,No,Female Only
FY221,F,S10,Singapore,2,2,2,No,No,Female Only
FY222,F,S120,Singapore,2,2,2,No,No,Female Only
FY223,M,S9,Singapore,2,3,2,No,No,No Preference
FY224,M,S78,Singapore,2,4,1,No,No,No Preference
FY225,M,S84,Singapore,2,4,2,No,No,No Preference
FY226,F,S44,Singapore,2,2,2,No,No,Female Only
